引き込む,ヒキコム
すきかえす,スキカエス
看取る,ミトル
睦む,ムツム
きこす,キコス
つける,ツケル
封切る,フウギル
封切る,フウキル
逃げまどう,ニゲマドウ
さしだす,サシダス
わりきる,ワリキル
飛び抜ける,トビヌケル
書き直せる,カキナオセル
ひしめきあう,ヒシメキアウ
乗り組む,ノリクム
引き戻す,ヒキモドス
持てる,モテル
立あう,タチアウ
基づく,モトヅク
弓引く,ユミヒク
ぶち壊す,ブチコワス
わきあがる,ワキアガル
語りつぐ,カタリツグ
問掛ける,トイカケル
狙われる,ネラワレル
埋めあわす,ウメアワス
喚ぶ,ヨブ
しりぞける,シリゾケル
こす,コス
大人ぶる,オトナブル
居る,イル
ねじふせる,ネジフセル
しゃくりあげる,シャクリアゲル
にごせる,ニゴセル
較べる,クラベル
罷り越す,マカリコス
射せる,サセル
描きだす,エガキダス
けっとばす,ケットバス
満つ,ミツ
明け放す,アケハナス
返り咲ける,カエリザケル
誘い合わせる,サソイアワセル
つきつける,ツキツケル
埋る,ウマル
かき乱す,カキミダス
だまし取る,ダマシトル
配り歩く,クバリアルク
抱き込む,ダキコム
めしあがる,メシアガル
つうずる,ツウズル
ずば抜ける,ズバヌケル
泣きぬれる,ナキヌレル
くしけずる,クシケズル
つみとる,ツミトル
割戻す,ワリモドス
さだまる,サダマル
睨み合う,ニラミアウ
かわれる,カワレル
そむ,ソム
後らす,オクラス
ごわする,ゴワスル
迷わす,マヨワス
泥む,ナズム
仕出す,シダス
おくする,オクスル
逆らえる,サカラエル
居あわせる,イアワセル
苛立つ,イラダツ
堕ちる,オチル
慮る,オモンバカル
怖じ気立つ,オジケダツ
きずく,キズク
とりあつかえる,トリアツカエル
扱き雑ぜる,コキマゼル
はじける,ハジケル
ふしおがむ,フシオガム
黙る,ダマル
のめす,ノメス
危ぶむ,アヤブム
いりびたる,イリビタル
洗い流す,アライナガス
呉れる,クレル
定まる,サダマル
ばかせる,バカセル
語りあう,カタリアウ
敬える,ウヤマエル
食らわせる,クラワセル
わたる,ワタル
いいまわす,イイマワス
打ち抜ける,ウチヌケル
ヒネる,ヒネル
転げでる,コロゲデル
打ちのめす,ウチノメス
思い合せる,オモイアワセル
萎れる,シオレル
総べる,スベル
鳴らす,ナラス
貸出す,カシダス
差し換える,サシカエル
もぐり込む,モグリコム
睨む,ニラム
打ちつづく,ウチツヅク
おいかける,オイカケル
ふりつもる,フリツモル
かわく,カワク
はしりだせる,ハシリダセル
省みる,カエリミル
出合う,デアウ
といかえす,トイカエス
かぶさる,カブサル
こづく,コヅク
這う,ハウ
縫う,ヌウ
降込む,フリコム
はめこむ,ハメコム
すみわたる,スミワタル
いふ,イフ
いふ,イフ
思へる,オモヘル
刷りこむ,スリコム
くらわせる,クラワセル
ゆすぶる,ユスブル
触れ合える,フレアエル
はねあがる,ハネアガル
察する,サッスル
ころげおちる,コロゲオチル
すぐす,スグス
押しかえす,オシカエス
ただよわす,タダヨワス
結論づける,ケツロンヅケル
しばり上げる,シバリアゲル
欠く,カク
乗り継ぐ,ノリツグ
ひめる,ヒメル
むせびなく,ムセビナク
やじる,ヤジル
けっする,ケッスル
みかぎる,ミカギル
わりあてる,ワリアテル
かき立てる,カキタテル
あわてふためく,アワテフタメク
吸付ける,スイツケル
ごねる,ゴネル
ほざく,ホザク
せめぐ,セメグ
食さがる,クイサガル
追い打つ,オイウツ
休まれる,ヤスマレル
動じる,ドウジル
染まる,ソマル
立ち迷う,タチマヨウ
染め上げる,ソメアゲル
たちむかう,タチムカウ
はかれる,ハカレル
巻き付く,マキツク
光らせる,ヒカラセル
挫ける,クジケル
燃え移る,モエウツル
鈍する,ドンスル
ふくれあがる,フクレアガル
いいそこなう,イイソコナウ
ぶんなげる,ブンナゲル
生い立つ,オイタツ
ごたつく,ゴタツク
うろたえる,ウロタエル
燃える,モエル
はむかう,ハムカウ
推する,スイスル
取逃す,トリニガス
乗り通す,ノリトオス
よそおう,ヨソオウ
さむけだつ,サムケダツ
こぼれおちる,コボレオチル
かいつくす,カイツクス
祀る,マツル
痛め付ける,イタメツケル
持ちきる,モチキル
疑える,ウタガエル
掻き曇る,カキクモル
返り咲く,カエリザク
うばえる,ウバエル
願い出る,ネガイデル
落ち延びる,オチノビル
辱める,ハズカシメル
おったてる,オッタテル
編み出す,アミダス
呼び止める,ヨビトメル
澄みきる,スミキル
踏みきる,フミキル
寄り付く,ヨリツク
だきこむ,ダキコム
轟かせる,トドロカセル
仰ける,アオノケル
毒する,ドクスル
かかえる,カカエル
ほふる,ホフル
捻る,ヒネル
捻る,ネジル
触り合う,フリアウ
角張る,カクバル
悦ぶ,ヨロコブ
いちづける,イチヅケル
仕込める,シコメル
くいこめる,クイコメル
組みこむ,クミコム
おそう,オソウ
あつかえる,アツカエル
嘱する,ショクスル
なげきくらす,ナゲキクラス
けやぶる,ケヤブル
つくりなおす,ツクリナオス
まるめる,マルメル
しびれる,シビレル
溶けあう,トケアウ
突き合わす,ツキアワス
はぐる,ハグル
頼む,タノム
ゆがむ,ユガム
はみ出る,ハミデル
あおむ,アオム
玩ぶ,モテアソブ
裁てる,タテル
ちりいそぐ,チリイソグ
棚引く,タナビク
引き下がる,ヒキサガル
てぐすねひく,テグスネヒク
括れる,クビレル
引き締まる,ヒキシマル
参れる,マイレル
立ちならぶ,タチナラブ
そらうそぶく,ソラウソブク
羨む,ウラヤム
ふきかえす,フキカエス
はぐ,ハグ
みはらす,ミハラス
けおされる,ケオサレル
洒落れる,シャレル
おもいやる,オモイヤル
ふとる,フトル
ちぢらす,チヂラス
うちまくる,ウチマクル
明け残る,アケノコル
ひきわたす,ヒキワタス
ならびたてる,ナラビタテル
書き出せる,カキダセル
聞きつける,キキツケル
研ぐ,トグ
つきはなせる,ツキハナセル
萌む,メグム
ませる,マセル
折り込める,オリコメル
ふり入れる,フリイレル
押し分ける,オシワケル
見慣れる,ミナレル
跳ねのける,ハネノケル
染む,シム
訃ぐ,ツグ
拒める,コバメル
貫き通せる,ツラヌキトオセル
くねる,クネル
ふりやむ,フリヤム
ゆらぐ,ユラグ
読み切れる,ヨミキレル
ようだつ,ヨウダツ
またす,マタス
畳み込める,タタミコメル
掛け合える,カケアエル
誘い出す,サソイダス
のりまわす,ノリマワス
ほぐせる,ホグセル
ぜっする,ゼッスル
蔵する,ゾウスル
食い違う,クイチガウ
印す,シルス
手古摺る,テコズル
まびける,マビケル
わりこむ,ワリコム
しくむ,シクム
怪しむ,アヤシム
締めつける,シメツケル
受ける,ウケル
立ちどまる,タチドマル
はいりきる,ハイリキル
証す,アカス
漕げる,コゲル
捜しまわる,サガシマワル
ゆきわたる,ユキワタル
相入れる,アイイレル
奏す,ソウス
悦べる,ヨロコベル
料る,リョウル
吸い寄せる,スイヨセル
せぐくまる,セグクマル
よえる,ヨエル
阻める,ハバメル
くるわす,クルワス
わすれさる,ワスレサル
隠る,コモル
おもいのこす,オモイノコス
探し出せる,サガシダセル
成さがる,ナリサガル
およげる,オヨゲル
引き換える,ヒキカエル
引き離せる,ヒキハナセル
さえわたる,サエワタル
抱き起こせる,ダキオコセル
むち打つ,ムチウツ
抗う,アラガウ
しょげかえる,ショゲカエル
取り調べる,トリシラベル
捕われる,トラワレル
なる,ナル
ふししずむ,フシシズム
寂する,ジャクスル
取り持つ,トリモツ
おもいあたる,オモイアタル
語りかける,カタリカケル
引っ越せる,ヒッコセル
おもいなす,オモイナス
けす,ケス
ぎらつく,ギラツク
きりくむ,キリクム
刻める,キザメル
世ばなれる,ヨバナレル
ひっくくる,ヒッククル
そぼぬれる,ソボヌレル
教え諭す,オシエサトス
織り込める,オリコメル
仰け反る,ノケゾル
けがれる,ケガレル
聞漏らす,キキモラス
あざける,アザケル
飼う,カウ
引っ括める,ヒックルメル
ひょうげる,ヒョウゲル
ひょうげる,ヒョウゲル
延べる,ノベル
かけ隔てる,カケヘダテル
播く,マク
かすめ取る,カスメトル
くだす,クダス
角立つ,カドダツ
ほこる,ホコル
芽ぶく,メブク
疲れはてる,ツカレハテル
くわわる,クワワル
追い付く,オイツク
差し上る,サシノボル
踏ん切る,フンギル
ぬきはなつ,ヌキハナツ
言い付ける,イイツケル
そよ吹く,ソヨフク
ぼる,ボル
蹲る,ウズクマル
繰下げる,クリサゲル
率いる,ヒキイル
化かす,バカス
労する,ロウスル
持ちかえれる,モチカエレル
つぎたす,ツギタス
住成す,スミナス
締切る,シメキル
挙がる,アガル
突っぱる,ツッパル
出歩ける,デアルケル
せる,セル
躙り寄る,ニジリヨル
排す,ハイス
いさよう,イサヨウ
飲み潰す,ノミツブス
迎える,ムカエル
参らす,マイラス
張りつく,ハリツク
にげまわる,ニゲマワル
押掛ける,オシカケル
掻き集める,カキアツメル
住みつぶ,スミツブ
妬む,ネタム
愁える,ウレエル
はりつめる,ハリツメル
