仕舞い,シマイ
円周,エンシュウ
薫風,クンプウ
蝿帳,ハイチョウ
初っ端,ショッパナ
エレクトロン,エレクトロン
多肉植物,タニクショクブツ
コウナゴ,コウナゴ
三枚,サンマイ
モーターバイク,モーターバイク
ラベンダー,ラベンダー
下陰,シタカゲ
綾,アヤ
室内楽,シツナイガク
焼串,ヤキグシ
僻陬,ヘキスウ
惨烈,サンレツ
処処,ショショ
ディスカウント,ディスカウント
無精卵,ムセイラン
悲話,ヒワ
水痘,スイトウ
盥,タライ
仕込,シコミ
民俗,ミンゾク
クローネ,クローネ
天声,テンセイ
塩引,シオビキ
暴対法,ボウタイホウ
鉄片,テッペン
大柄,オオガラ
畳,タタミ
畳,タトウ
パルティータ,パルティータ
ハゼウルシ,ハゼウルシ
オシログラフ,オシログラフ
初子,ハツネ
初子,ウイゴ
初子,ハツゴ
進退伺,シンタイウカガイ
花言葉,ハナコトバ
クローフォード,クローフォード
等比,トウヒ
取り得,トリドク
入試,ニュウシ
随意筋,ズイイキン
冠付,カムリヅケ
初値,ハツネ
剣呑,ケンノン
鉄柱,テッチュウ
関口,セキグチ
手道具,テドウグ
共寝,トモネ
他生,タショウ
荒唐,コウトウ
門徒,モント
神明,シンメイ
足ぶみ,アシブミ
ショート,ショート
人待ち顔,ヒトマチガオ
和気,ワキ
倭語,ワゴ
変幻,ヘンゲン
当世風,トウセイフウ
三宝荒神,サンボウコウジン
つづら,ツヅラ
げろ,ゲロ
欲目,ヨクメ
帯紙,オビガミ
ホチキス,ホチキス
パリティチェック,パリティチェック
人心,ジンシン
人心,ヒトゴコロ
鼻息,ハナイキ
先潜り,サキクグリ
カンバス,カンバス
同年代,ドウネンダイ
芸林,ゲイリン
実業,ジツギョウ
胸焼け,ムネヤケ
鯡,ニシン
六朝,リクチョウ
種皮,シュヒ
糸偏,イトヘン
大正琴,タイショウゴト
貰い食い,モライグイ
悲報,ヒホウ
裳層,ヒサシ
多神教,タシンキョウ
俳聖,ハイセイ
ねぎ,ネギ
大立者,オオダテモノ
広壮,コウソウ
受口,ウケグチ
堺,サカイ
あとがき,アトガキ
尚早,ショウソウ
行灯袴,アンドンバカマ
弟,オトウト
淫乱,インラン
ラウティング,ラウティング
炒飯,チャーハン
トレー,トレー
口触り,クチザワリ
界隈,カイワイ
小糠雨,コヌカアメ
村民,ソンミン
カボチャ,カボチャ
捌け,ハケ
格子戸,コウシド
不浄役人,フジョウヤクニン
八紘,ハッコウ
荒れ性,アレショウ
菜種油,ナタネアブラ
とばくち,トバクチ
思い差し,オモイザシ
小倉,オグラ
ここいら,ココイラ
顔負け,カオマケ
ヒヨドリ,ヒヨドリ
缶詰め,カンヅメ
巻き尺,マキジャク
タコメーター,タコメーター
一匹狼,イッピキオオカミ
練り製品,ネリセイヒン
雪見灯篭,ユキミドウロウ
頬骨,ホオボネ
炒りまめ,イリマメ
気質,キシツ
気質,カタギ
茶入,チャイレ
雪盲,セツモウ
田楽刺,デンガクザシ
稲穂,イナホ
剛毅,ゴウキ
おつき,オツキ
ガードレール,ガードレール
いかん,イカン
囚役,シュウエキ
国鳥,コクチョウ
左肩,ヒダリカタ
オキアミ,オキアミ
お礼参り,オレイマイリ
袴能,ハカマノウ
手活け,テイケ
世論,セロン
世論,ヨロン
太々神楽,ダイダイカグラ
未決監,ミケツカン
レター,レター
利払い,リバライ
指し物,サシモノ
電位差,デンイサ
思召,オボシメシ
とこずれ,トコズレ
花かんざし,ハナカンザシ
刀泉,トウセン
メモリ,メモリ
耕地,コウチ
尻切れ蜻蛉,シリキレトンボ
翌翌週,ヨクヨクシュウ
枷,カセ
ザウルス,ザウルス
顔ばせ,カオバセ
フローグラフ,フローグラフ
曲玉,マガタマ
豊葦原,トヨアシハラ
たっぱ,タッパ
事蹟,ジセキ
都忘れ,ミヤコワスレ
海鞘,ホヤ
切篭,キリコ
梓,アズサ
御一同様,ゴイチドウサマ
遠吠え,トオボエ
矩差し,カネザシ
涼み,スズミ
トウシン,トウシン
逃げ道,ニゲミチ
上膳据膳,アゲゼンスエゼン
付けまげ,ツケマゲ
先皇,センノウ
カップめん,カップメン
おろか,オロカ
アソシアティブレジスタ,アソシアティブレジスタ
儀,ギ
諸公,ショコウ
長子,チョウシ
超文,チョウブン
入海,イリウミ
レストラン,レストラン
精糖,セイトウ
紫根,シコン
ちょんぼ,チョンボ
雲水,ウンスイ
持ち腐れ,モチグサレ
蚤,ノミ
円本,エンポン
江,エ
長身,チョウシン
病み上り,ヤミアガリ
秋刀魚,サンマ
本学,ホンガク
きょう,キョウ
特旨,トクシ
プリッツ,プリッツ
出身,シュッシン
和様,ワヨウ
主神,シュシン
衝立,ツイタテ
自身番,ジシンバン
正気,ショウキ
正気,セイキ
印形,インギョウ
分かち書き,ワカチガキ
背負い上げ,ショイアゲ
おぼれ谷,オボレダニ
大道,ダイドウ
大道,タイドウ
無駄,ムダ
アンパン,アンパン
左中間,サチュウカン
元方,モトカタ
粗塗,アラヌリ
潦,ニワタズミ
合衆国,ガッシュウコク
目白,メジロ
禁,キン
介与,カイヨ
旧聞,キュウブン
挟詞,ハサミコトバ
合名,ゴウメイ
徳性,トクセイ
平泳,ヒラオヨギ
情報,ジョウホウ
差添え,サシゾエ
岩つつじ,イワツツジ
続け様,ツヅケザマ
座席,ザセキ
四十雀,シジュウカラ
嫌味,イヤミ
節義,セツギ
ニワタタキ,ニワタタキ
法印,ホウイン
有線,ユウセン
度量衡,ドリョウコウ
インディケータ,インディケータ
書志,ショシ
書き留め,カキトメ
傭人,ヨウニン
たき合わせ,タキアワセ
玲瓏,レイロウ
待ち惚け,マチボウケ
インク,インク
二乗根,ジジョウコン
とったり,トッタリ
清冽,セイレツ
べっ称,ベッショウ
考,コウ
バカンス,バカンス
ケチ,ケチ
ステークス,ステークス
慶弔,ケイチョウ
自主トレ,ジシュトレ
ピークシフト,ピークシフト
鉄山,テツザン
函,ハコ
縒り,ヨリ
文事,ブンジ
げん,ゲン
功利,コウリ
妙音,ミョウオン
ひぐらし,ヒグラシ
守札,マモリフダ
トラップ,トラップ
ブラ,ブラ
歯学,シガク
釣り手,ツリテ
居住い,イズマイ
防諜,ボウチョウ
腰縄,コシナワ
片端,カタワ
片端,カタハシ
余波,ヨハ
余波,ナゴリ
一溜り,ヒトタマリ
指導室,シドウシツ
ユーカラ,ユーカラ
挿話,ソウワ
離れ,ハナレ
短大,タンダイ
私心,シシン
こうこ,コウコ
水海道,ミツカイドウ
南京玉,ナンキンダマ
釣鐘草,ツリガネソウ
融雪,ユウセツ
白堊,ハクア
アシカ,アシカ
原罪,ゲンザイ
上側,ウワガワ
不死身,フジミ
位負け,クライマケ
おなじみ,オナジミ
鏡板,カガミイタ
大ぶり,オオブリ
職業,ショクギョウ
失費,シッピ
平家蟹,ヘイケガニ
雑歌,ゾウカ
ひんせい,ヒンセイ
黄塵,コウジン
告げ,ツゲ
車軸,シャジク
繁用,ハンヨウ
砂かぶり,スナカブリ
麝香,ジャコウ
雁字搦め,ガンジガラメ
偏見,ヘンケン
砂糖黍,サトウキビ
危険,キケン
ハーネス,ハーネス
シーツ,シーツ
紅毛碧眼,コウモウヘキガン
そぼろ,ソボロ
服飾,フクショク
六法,ロッポウ
針山,ハリヤマ
脂気,アブラケ
劇界,ゲキカイ
紬糸,ツムギイト
恋びと,コイビト
善事,ゼンジ
標縄,シメナワ
アカエイ,アカエイ
文中,ブンチュウ
緋牡丹,ヒボタン
英和,エイワ
本号,ホンゴウ
際涯,サイガイ
予科練,ヨカレン
兵端,ヘイタン
ピット,ピット
糸巻き,イトマキ
手本,テホン
面もち,オモモチ
別天地,ベッテンチ
浜辺,ハマベ
真田虫,サナダムシ
迫り出し,セリダシ
一回忌,イッカイキ
焼野,ヤケノ
息差し,イキザシ
馬肉,バニク
音声,オンセイ
東西,トウザイ
吊し柿,ツルシガキ
草野球,クサヤキュウ
テレメトリ,テレメトリ
ホルモン,ホルモン
元々,モトモト
割当て,ワリアテ
角書,ツノガキ
ヘラブナ,ヘラブナ
原液,ゲンエキ
絶間,タエマ
追手,オッテ
葉武者,ハムシャ
迷宮,メイキュウ
インサータ,インサータ
バイヤス,バイヤス
探湯,クカタチ
養鶏,ヨウケイ
オニアザミ,オニアザミ
河港,カコウ
同夕,ドウユウ
等温,トウオン
浮しゅ,フシュ
寄宿舎,キシュクシャ
応仁,オウニン
木,キ
木,モク
蓮台,レンダイ
残余,ザンヨ
正会員,セイカイイン
床山,トコヤマ
殿中,デンチュウ
幸先,サイサキ
デュアルバッチ,デュアルバッチ
火,ヒ
火,カ
折紙,オリガミ
老年,ロウネン
ハイギョ,ハイギョ
ひとり案内,ヒトリアンナイ
和漢,ワカン
めった,メッタ
不死鳥,フシチョウ
捌け口,ハケグチ
捌け口,サバケグチ
自宗,ジシュウ
十重二十重,トエハタエ
華燭,カショク
結びの神,ムスビノカミ
旅寝,タビネ
柔弱,ニュウジャク
アクセスモデル,アクセスモデル
倍音,バイオン
支庁,シチョウ
指掛け,サシカケ
合い言葉,アイコトバ
アンロード,アンロード
性悪,セイアク
性悪,ショウワル
ワイル,ワイル
地すべり,ジスベリ
セラピー,セラピー
料,リョウ
腕木,ウデギ
腕木,ウデキ
ＦＯＭＣ,エフオーエムシー
せりふ,セリフ
菜花,ナノハナ
テクノロジー,テクノロジー
天真爛漫,テンシンランマン
