仕舞い,シマイ
断頭,ダントウ
莨,タバコ
転路器,テンロキ
千円,センエン
拳固,ゲンコ
別姓,ベッセイ
いわれ,イワレ
手鉤,テカギ
空株,カラカブ
枠内,ワクナイ
気狂い,キチガイ
闘魂,トウコン
手織り,テオリ
詔,ミコトノリ
箔,ハク
せつがい,セツガイ
株価,カブカ
純量,ジュンリョウ
黙約,モクヤク
液剤,エキザイ
金城,キンジョウ
新撰,シンセン
税引き,ゼイビキ
社会,シャカイ
火鉢,ヒバチ
法螺貝,ホラガイ
カルテット,カルテット
弔事,トムライコト
息子,ムスコ
重労働,ジュウロウドウ
副腎,フクジン
産み,ウミ
帰命,キミョウ
押し上げ,オシアゲ
下げ止まり,サゲドマリ
アジャスト,アジャスト
天皇陛下,テンノウヘイカ
山系,サンケイ
クリスタルグラス,クリスタルグラス
詰込み,ツメコミ
教務,キョウム
硬球,コウキュウ
孟母,モウボ
実体験,ジツタイケン
阿修羅,アシュラ
風信子,フウシンシ
風信子,ヒヤシンス
一角獣,イッカクジュウ
近郊,キンコウ
咲き,サキ
寝首,ネクビ
アウトコース,アウトコース
大筋,オオスジ
臥,ガ
アンケート,アンケート
飲茶,ヤムチャ
巨火,キョカ
カップ,カップ
結び付き,ムスビツキ
補数,ホスウ
筍生活,タケノコセイカツ
後頭部,コウトウブ
心当たり,ココロアタリ
守兵,シュヘイ
かかわり合い,カカワリアイ
荒くれ者,アラクレモノ
基地,キチ
滄溟,ソウメイ
フォークソング,フォークソング
ハッシング,ハッシング
老婆,ロウバ
横目,ヨコメ
天帝,テンテイ
ひとすじ,ヒトスジ
幼,ヨウ
初生り,ハツナリ
雑書,ザッショ
南郊,ナンコウ
ゴクラクチョウ,ゴクラクチョウ
窓辺,マドベ
凶状,キョウジョウ
四幅布団,ヨノブトン
海溝,カイコウ
訳,ワケ
訳,ヤク
領地,リョウチ
走使い,ハシリヅカイ
ノーギャラ,ノーギャラ
鄙俗,ヒゾク
魔魅,マミ
烏鷺,ウロ
達筆,タッピツ
麦藁,ムギワラ
身の上,ミノウエ
浜路,ハマジ
ラインアウト,ラインアウト
行金,コウキン
バン,バン
ワーキングセットサイズ,ワーキングセットサイズ
外とう,ガイトウ
神輿,シンヨ
神輿,ミコシ
どさ回り,ドサマワリ
記念祭,キネンサイ
余り物,アマリモノ
高直,コウジキ
直角,チョッカク
仏トン,フツトン
バックアウト,バックアウト
アイスホッケー,アイスホッケー
背負子,ショイコ
出来あい,デキアイ
物価高,ブッカダカ
ラジオドラマ,ラジオドラマ
所司代,ショシダイ
次段,ジダン
リーグ,リーグ
発炎筒,ハツエントウ
ホタルブクロ,ホタルブクロ
四六判,シロクバン
依願,イガン
八相,ハッソウ
ビジネスマン,ビジネスマン
沈鬱,チンウツ
礼状,レイジョウ
滞欧,タイオウ
背泳,セオヨギ
背泳,ハイエイ
宵っ張り,ヨイッパリ
ガス,ガス
ワークシェアリング,ワークシェアリング
時様,ジヨウ
療法,リョウホウ
除幕,ジョマク
人傑,ジンケツ
あんころ餅,アンコロモチ
忠勇,チュウユウ
揚々,ヨウヨウ
良,リョウ
みつば,ミツバ
特徴,トクチョウ
偽者,ニセモノ
門扉,モンピ
凄腕,スゴウデ
豆板銀,マメイタギン
環視,カンシ
ふた親,フタオヤ
いかなご,イカナゴ
サルオガセ,サルオガセ
御店,オンテン
犯人,ハンニン
自象,ジショウ
無一文,ムイチモン
夢路,ユメジ
破天荒,ハテンコウ
左官,サカン
トラブル,トラブル
道のり,ミチノリ
内入,ウチイリ
残土,ザンド
腸捻転,チョウネンテン
庇髪,ヒサシガミ
乗り,ノリ
おい,オイ
末位,マツイ
買主,カイヌシ
スピーカ,スピーカ
恐惶,キョウコウ
トロール船,トロールセン
鉾,ホコ
檀那,ダンナ
スゲ,スゲ
案文,アンブン
破れ目,ワレメ
寝癖,ネグセ
栄,エイ
栄,サカエ
愛郷,アイキョウ
ブースタ,ブースタ
合わせ,アワセ
足かせ,アシカセ
内径,ナイケイ
俗筆,ゾクヒツ
錆声,サビゴエ
テアトル,テアトル
彼岸花,ヒガンバナ
土石流,ドセキリュウ
追い剥ぎ,オイハギ
中元,チュウゲン
水声,スイセイ
法典,ホウテン
元祿袖,ゲンロクソデ
パラグラフ,パラグラフ
やもり,ヤモリ
紙子,カミコ
コンソール,コンソール
足掛り,アシガカリ
雨がさ,アマガサ
サドンデス,サドンデス
伯母,オバ
気詰り,キヅマリ
青立ち,アオダチ
ウサギウマ,ウサギウマ
適職,テキショク
ヒューリスティック,ヒューリスティック
眺め,ナガメ
エキスパンダー,エキスパンダー
テクスチャ,テクスチャ
ふく,フク
水木,ミズキ
書き初め,カキゾメ
橋銭,ハシセン
弾雨,ダンウ
腰高,コシダカ
凶変,キョウヘン
アーク灯,アークトウ
同郷,ドウキョウ
来意,ライイ
クリームチーズ,クリームチーズ
御教書,ミギョウショ
正,セイ
繰越金,クリコシキン
肉弾,ニクダン
しゅう長,シュウチョウ
ただ今,タダイマ
新本,シンポン
面相,メンソウ
花,ハナ
大功,タイコウ
臭み,クサミ
お手盛,オテモリ
魔,マ
我宿,ワガヤド
アドベンチャーワールド,アドベンチャーワールド
樹下,ジュカ
ターミネィテング,ターミネィテング
古蹟,コセキ
段,ダン
校外,コウガイ
ガン,ガン
画像,ガゾウ
真宗,シンシュウ
み魂,ミタマ
他力,タリキ
針葉樹,シンヨウジュ
触感,ショッカン
上半身,ジョウハンシン
戸車,トグルマ
ボールベアリング,ボールベアリング
早耳,ハヤミミ
両々,リョウリョウ
サイダー,サイダー
地しん,ジシン
現員,ゲンイン
さら地,サラチ
雪おろし,ユキオロシ
目立て,メタテ
当てはずれ,アテハズレ
微酔,ビスイ
旨み,ウマミ
前方後円墳,ゼンポウコウエンフン
四全総,ヨンゼンソウ
ジープ,ジープ
ＮＥＷ,ニュー
先乗り,サキノリ
浮貸,ウキガシ
特務,トクム
冷灰,レイカイ
知らずがお,シラズガオ
作風,サクフウ
落し蓋,オトシブタ
譬喩,ヒユ
塀,ヘイ
ビューロー,ビューロー
モッコク,モッコク
極度,キョクド
ボールドルック,ボールドルック
ブラシ,ブラシ
愚闇,グアン
作条,サクジョウ
不壊,フエ
妙趣,ミョウシュ
まっさお,マッサオ
殺し,コロシ
御筆先,オフデサキ
朴歯,ホウバ
門下,モンカ
とんま,トンマ
出合い,デアイ
漠々,バクバク
コーポ,コーポ
学齢,ガクレイ
宵っぱり,ヨイッパリ
薄荷,ハッカ
売主,ウリヌシ
圏外,ケンガイ
虚辞,キョジ
元年,ガンネン
インジゴ,インジゴ
口説き,クドキ
官選,カンセン
プライム,プライム
嵌り役,ハマリヤク
そのため,ソノタメ
身状,ミジョウ
地公法,チコウホウ
ジャー,ジャー
曠職,コウショク
折れ釘流,オレクギリュウ
便法,ベンポウ
御身,オンミ
御身,オミ
村払い,ムラバライ
顔面,ガンメン
ワイ談,ワイダン
抽斗,ヒキダシ
合鴨,アイガモ
悪相,アクソウ
附子,ブス
附子,ブシ
書き方,カキカタ
五色,ゴシキ
イソギンチャク,イソギンチャク
テキストファイル,テキストファイル
取り外し,トリハズシ
払い,ハライ
上機嫌,ジョウキゲン
ラプソディ,ラプソディ
山水,サンスイ
招き,マネキ
枚数,マイスウ
新建材,シンケンザイ
貴婦人,キフジン
サボ,サボ
ナトリウム,ナトリウム
ナトリウム,ナトリウム
引際,ヒキギワ
定理,テイリ
コク,コク
被葬,ヒソウ
連小便,ツレショウベン
締めくくり,シメククリ
零余子,ヌカゴ
零余子,ムカゴ
手控,テビカエ
ロッカー,ロッカー
拙劣,セツレツ
猫額,ビョウガク
寝袋,ネブクロ
金貸,カネカシ
カバートワラント,カバートワラント
言の葉,コトノハ
昼光色,チュウコウショク
塩化ビニール,エンカビニール
俳人,ハイジン
多雨,タウ
駻馬,カンバ
こころ,ココロ
思い入れ,オモイイレ
縁定め,エンサダメ
蔭,カゲ
中間,チュウカン
助炭,ジョタン
イマジネーション,イマジネーション
月賦,ゲップ
ゴム,ゴム
音律,オンリツ
ダーハム,ダーハム
帯,オビ
替手,カエテ
卯,ウ
和習,ワシュウ
前景気,マエゲイキ
闘犬,トウケン
染め分け,ソメワケ
仏式,ブッシキ
ほうき,ホウキ
気管支炎,キカンシエン
ブロック,ブロック
陶土,トウド
中気,チュウキ
毛虱,ケジラミ
ピックルス,ピックルス
アドリブ,アドリブ
印欧語,インオウゴ
素話,スバナシ
芽出し,メダシ
勝手元,カッテモト
葉たばこ,ハタバコ
お祓い,オハライ
旅人,タビビト
洋室,ヨウシツ
新粧,シンソウ
至近,シキン
府県連,フケンレン
外局,ガイキョク
雛菊,ヒナギク
部類,ブルイ
褶襞,シュウヘキ
がり版,ガリバン
胃散,イサン
うぐいす,ウグイス
追徴金,ツイチョウキン
償じゅつ金,ショウジュツキン
差出口,サシデグチ
碁盤,ゴバン
申し入れ,モウシイレ
差し出口,サシデグチ
生き,イキ
純度,ジュンド
僧門,ソウモン
国電,コクデン
聞き耳,キキミミ
不換紙幣,フカンシヘイ
弁財天,ベザイテン
弁財天,ベンザイテン
肩掛,カタカケ
盧遮那仏,ルシャナブツ
歌合,ウタアワセ
地頭,ジトウ
役人,ヤクニン
外字,ガイジ
シュウカイドウ,シュウカイドウ
おいらん,オイラン
男爵,ダンシャク
下目,シタメ
探索かぎ,タンサクカギ
軍,グン
ヤミ,ヤミ
マンゴスチン,マンゴスチン
縫揚げ,ヌイアゲ
ページング,ページング
家父長制,カフチョウセイ
ひん死,ヒンシ
バックスキン,バックスキン
国名,コクメイ
チドリ,チドリ
台風,タイフウ
豊穣,ホウジョウ
昧爽,マイソウ
観閲,カンエツ
合縁奇縁,アイエンキエン
ウヤムヤ,ウヤムヤ
洗い,アライ
プロトコル,プロトコル
被験者,ヒケンシャ
アントレ,アントレ
灯篭流し,トウロウナガシ
直流形,チョクリュウガタ
情念,ジョウネン
右下,ミギシタ
ガンマ線,ガンマセン
変成岩,ヘンセイガン
折ふし,オリフシ
道楽者,ドウラクモノ
隠元豆,インゲンマメ
賛歌,サンカ
長尻,ナガジリ
訳註,ヤクチュウ
斥力,セキリョク
あせび,アセビ
スタートエレメント,スタートエレメント
赤地,アカジ
倒語,トウゴ
弱行,ジャッコウ
年並,トシナミ
検孔機,ケンコウキ
多端,タタン
餡蜜,アンミツ
ごらん,ゴラン
社主,シャシュ
外形,ガイケイ
メーンマスト,メーンマスト
物入れ,モノイレ
房,ボウ
房,フサ
テコ,テコ
バッタバッタ,バッタバッタ
菅薦,スガゴモ
殿様蛙,トノサマガエル
複線,フクセン
紐,ヒモ
ダイバー,ダイバー
工科,コウカ
直筆,ジキヒツ
左翼,サヨク
真丸,マンマル
取り扱い,トリアツカイ
マクラメ,マクラメ
油障子,アブラショウジ
ジュウロクササゲ,ジュウロクササゲ
ダブルス,ダブルス
ハミルトンガメ,ハミルトンガメ
すきしゃ,スキシャ
不適当,フテキトウ
アウトサイダー,アウトサイダー
犯科,ハンカ
句読点,クトウテン
雑木,ザツボク
雑木,ゾウキ
雑木,ゾウボク
固煉り,カタネリ
酔客,スイキャク
酔客,スイカク
骨っぷし,ホネップシ
福引き,フクビキ
令夫人,レイフジン
小間結び,コマムスビ
艷物,ツヤモノ
蛹,サナギ
雲泥,ウンデイ
春暁,シュンギョウ
穢,ケガレ
真理,シンリ
家並,ヤナミ
家並,イエナミ
肝いり,キモイリ
百行,ヒャッコウ
縛り首,シバリクビ
コンピュータ,コンピュータ
生ビール,ナマビール
ぼろ,ボロ
あいき,アイキ
同性愛,ドウセイアイ
四大,シダイ
お侠,オキャン
手燭,テショク
手燭,シュショク
熱冷まし,ネツサマシ
雁来紅,ハゲイトウ
雁来紅,ガンライコウ
ミス・ユニバース,ミスユニバース
鴃舌,ゲキゼツ
横紙破り,ヨコガミヤブリ
敬啓,ケイケイ
木の間,コノマ
ピクニック,ピクニック
銀笛,ギンテキ
アオガエル,アオガエル
世柄,ヨガラ
三角きん,サンカクキン
オルガスムス,オルガスムス
ナメクジ,ナメクジ
シルバーガイド,シルバーガイド
萌黄,モエギ
巻頭,カントウ
聾者,ロウシャ
スレート,スレート
トレーディング,トレーディング
富国強兵,フコクキョウヘイ
チーム,チーム
水盛,ミズモリ
ムニエル,ムニエル
入れ子,イレコ
会稽の恥,カイケイノハジ
仁徳,ジントク
対ロ,タイロ
葉書,ハガキ
政,セイ
政,マツリゴト
クリプトン,クリプトン
微生物,ビセイブツ
軽挙,ケイキョ
ポップ・アート,ポップアート
バイブル,バイブル
タイガー,タイガー
吹溜り,フキダマリ
ウソつき,ウソツキ
黄疸,オウダン
御来迎,ゴライゴウ
混じりけ,マジリケ
収量,シュウリョウ
孟春,モウシュン
怠けもの,ナマケモノ
猟具,リョウグ
風霜,フウソウ
熱々,アツアツ
ひじ打ち,ヒジウチ
笑茸,ワライダケ
凶荒,キョウコウ
ネスティング,ネスティング
心気,シンキ
左手,ヒダリテ
じょうご,ジョウゴ
三つ又,ミツマタ
五十三次,ゴジュウサンツギ
夏物,ナツモノ
ちゃらんぽらん,チャランポラン
スコアラー,スコアラー
臭気,シュウキ
本成り,モトナリ
ケイソウ,ケイソウ
渋紙,シブガミ
気前,キマエ
粘り気,ネバリケ
菖蒲,ショウブ
菖蒲,アヤメ
動労,ドウロウ
水音,ミズオト
かぎ鼻,カギバナ
無過失責任,ムカシツセキニン
革砥,カワト
疑問符,ギモンフ
自販,ジハン
アーティチョーク,アーティチョーク
行路病者,コウロビョウシャ
モノクローム,モノクローム
真,シン
真,マコト
夜嵐,ヨアラシ
禅僧,ゼンソウ
容共,ヨウキョウ
保金,ホキン
無茶苦茶,ムチャクチャ
冴え,サエ
散寿司,チラシズシ
火山灰,カザンバイ
シーズンオフ,シーズンオフ
長潮,ナガシオ
城,シロ
砲座,ホウザ
浄財,ジョウザイ
杉原,スギハラ
杉原,スギワラ
南無阿彌陀仏,ナムアミダブツ
弔詞,チョウシ
無謀,ムボウ
上玉,ジョウダマ
組込み,クミコミ
会務,カイム
鉱油,コウユ
事由,ジユウ
あまり,アマリ
べた,ベタ
貨客船,カキャクセン
美術,ビジュツ
ブラック,ブラック
姫糊,ヒメノリ
光頭,コウトウ
マシン,マシン
ギンナン,ギンナン
打出し,ウチダシ
異事,コトゴト
ショウガクボウ,ショウガクボウ
本土,ホンド
断ち物,タチモノ
わい雑,ワイザツ
落ち目,オチメ
サイノロジー,サイノロジー
家主,ヤヌシ
やり方,ヤリカタ
マイクロアンペア,マイクロアンペア
得意満面,トクイマンメン
機知,キチ
真性,シンセイ
かぐら,カグラ
お達し,オタッシ
二十四孝,ニジュウシコウ
クロレラ,クロレラ
土気色,ツチケイロ
皇統,コウトウ
筒,ツツ
大全,タイゼン
パース,パース
煮凝り,ニコゴリ
うおの目,ウオノメ
下萌え,シタモエ
峡湾,キョウワン
転,テン
立合,タテアイ
立合,タチアイ
霊室,レイシツ
子細,シサイ
平体,ヘイタイ
罪悪,ザイアク
大吉,ダイキチ
鴨脚,イチョウ
もくぎょ,モクギョ
褊衫,ヘンサン
竜顔,リュウガン
竜顔,リョウガン
皓々,コウコウ
かがり火,カガリビ
三日月,ミカヅキ
水計,ミズバカリ
ボツ,ボツ
短プラ,タンプラ
繭玉,マユダマ
人台,ジンダイ
貴殿,キデン
浮ドック,ウキドック
アナウンサ,アナウンサ
控,ヒカエ
公序,コウジョ
準会員,ジュンカイイン
ポコペン,ポコペン
城郭,ジョウカク
悪平等,アクビョウドウ
違憲,イケン
奇蹟,キセキ
起き抜け,オキヌケ
洋綴じ,ヨウトジ
太鼓,タイコ
小謡,コウタイ
オイルショック,オイルショック
天授,テンジュ
稀少,キショウ
知恵の輪,チエノワ
恒星,コウセイ
アドバルーン,アドバルーン
鉢まき,ハチマキ
外題,ゲダイ
福分,フクブン
おあいそ,オアイソ
原器,ゲンキ
星霜,セイソウ
刷り,スリ
小兵,コヒョウ
飛び込み台,トビコミダイ
海賊,カイゾク
ソフトＡＶ,ソフトエイブイ
垂線,スイセン
妖婉,ヨウエン
お調子者,オチョウシモノ
裏漉し,ウラゴシ
目通り,メドオリ
神饌,シンセン
リレーレース,リレーレース
エッセンス,エッセンス
声量,セイリョウ
解き洗い,トキアライ
巨岩,キョガン
野羊,ヤギ
貴種,キシュ
ウスターソース,ウスターソース
梟将,キョウショウ
カルサン,カルサン
至大,シダイ
船首,センシュ
陣容,ジンヨウ
但書き,タダシガキ
唐丸篭,トウマルカゴ
珠,タマ
需要,ジュヨウ
打ち傷,ウチキズ
三顧,サンコ
交易会,コウエキカイ
心算,シンサン
シェーカ,シェーカ
地下,チカ
無害,ムガイ
ごうまん,ゴウマン
祿米,ロクマイ
二六時中,ニロクジチュウ
ホストファミリー,ホストファミリー
氷柱,ツララ
国構え,クニガマエ
前立せん,ゼンリツセン
船団,センダン
進駐軍,シンチュウグン
ボンサンス,ボンサンス
小皺,コジワ
煩労,ハンロウ
輪なげ,ワナゲ
反歌,ハンカ
フランシウム,フランシウム
祈ぎごと,ネギゴト
ナンプラー,ナンプラー
母式,ボシキ
海布,メ
所説,ショセツ
忘我,ボウガ
急テンポ,キュウテンポ
畑違い,ハタケチガイ
返書,ヘンショ
俸ろく,ホウロク
木場,キバ
えのこ,エノコ
櫓臍,ロベソ
特典,トクテン
山ねこスト,ヤマネコスト
稟性,ヒンセイ
硝酸カリウム,ショウサンカリウム
裾捌き,スソサバキ
す,ス
重き,オモキ
のう胞,ノウホウ
負けん気,マケンキ
飛球,ヒキュウ
黄身,キミ
つぶ,ツブ
純利,ジュンリ
婿養子,ムコヨウシ
象虫,ゾウムシ
虎鬚,トラヒゲ
頓才,トンサイ
倭歌,ヤマトウタ
転た寝,ウタタネ
内証,ナイショウ
スナップショット,スナップショット
河清,カセイ
麦畑,ムギバタケ
袋叩き,フクロダタキ
縄手,ナワテ
時日,ジジツ
不燃,フネン
浄火,ジョウカ
大黒頭巾,ダイコクズキン
陰電気,インデンキ
驥足,キソク
遺書,イショ
シタビラメ,シタビラメ
原書,ゲンショ
臣,シン
宿割り,シュクワリ
宿割り,ヤドワリ
げんまん,ゲンマン
佳境,カキョウ
時代物,ジダイモノ
檻,オリ
微速,ビソク
顔かたち,カオカタチ
陰間,カゲマ
物品,ブッピン
アラブ馬,アラブバ
逢瀬,オウセ
画布,ガフ
鎖積,サセキ
お茶,オチャ
板目,イタメ
凡百,ボンピャク
鯢,サンショウウオ
コピールール,コピールール
胃拡張,イカクチョウ
磐石,バンジャク
ほこ先,ホコサキ
海浜,カイヒン
不定称,フテイショウ
吾妻,アヅマ
矯飾,キョウショク
まち,マチ
古往今来,コオウコンライ
渡座,ワタマシ
詐術,サジュツ
コンセント,コンセント
おそろい,オソロイ
礼者,レイシャ
すり替え,スリカエ
愛人,アイジン
佞臣,ネイシン
都府県,トフケン
堂守,ドウモリ
教団,キョウダン
鮮肉,センニク
改め,アラタメ
最大限,サイダイゲン
山行,サンコウ
四声,シセイ
分り,ワカリ
本懐,ホンカイ
血管,ケッカン
マニュスクリプト,マニュスクリプト
主査,シュサ
大火,タイカ
球形,キュウケイ
エンマコオロギ,エンマコオロギ
ご用聞き,ゴヨウキキ
古生代,コセイダイ
サニーレタス,サニーレタス
なんど,ナンド
身欠鰊,ミガキニシン
神格,シンカク
日並,ヒナミ
ふん,フン
腎盂,ジンウ
精虫,セイチュウ
中心線,チュウシンセン
新大陸,シンタイリク
テレビ局,テレビキョク
主音,シュオン
倉入れ,クライレ
傷痍軍人,ショウイグンジン
祭文読み,サイモンヨミ
ナベ,ナベ
万,ヨロズ
毛氈,モウセン
他項,タコウ
石鯛,イシダイ
堅物,カタブツ
幕切れ,マクギレ
此の世,コノヨ
快哉,カイサイ
県別,ケンベツ
家電,カデン
雛,ヒヨコ
雛,ヒナ
雛,ヒイナ
剣,ケン
剣,ツルギ
カイツブリ,カイツブリ
ジャコウ,ジャコウ
尻切れとんぼ,シリキレトンボ
乳母,オンバ
乳母,ウバ
乳母,メノト
知らんぷり,シランプリ
引数,ヒキスウ
羞恥心,シュウチシン
遅延ひずみ,チエンヒズミ
謦咳,ケイガイ
頻用,ヒンヨウ
足代,アシダイ
私立,シリツ
私立,ワタクシリツ
靴箱,クツバコ
大川,オオカワ
浮標,フヒョウ
運搬船,ウンパンセン
悪日,アクニチ
悪日,アクビ
案,アン
割り算,ワリザン
然ること,サルコト
長命,チョウメイ
矢来,ヤライ
雲烟縹緲,ウンエンヒョウビョウ
有休,ユウキュウ
防虫,ボウチュウ
分水れい,ブンスイレイ
人交ぜ,ヒトマゼ
後手,ゴテ
マイク,マイク
焦眉,ショウビ
芸歴,ゲイレキ
毒気,ドクケ
毒気,ドッキ
プレレコ,プレレコ
ホルマント,ホルマント
閑文字,カンモジ
智識,チシキ
買い薬,カイグスリ
養鰻,ヨウマン
松ぼっくり,マツボックリ
挽き肉,ヒキニク
生みの親,ウミノオヤ
形見分け,カタミワケ
節織,フシオリ
サラリー,サラリー
通信使,ツウシンシ
名題,ナダイ
武辺,ブヘン
エンシレージ,エンシレージ
気管,キカン
単一,タンイツ
あざ,アザ
ソバ,ソバ
一口咄,ヒトクチバナシ
盲管銃創,モウカンジュウソウ
モトクロス,モトクロス
クニ,クニ
在り方,アリカタ
シティー,シティー
ファクシミリ,ファクシミリ
プロ,プロ
側杖,ソバヅエ
手透き,テスキ
境目,サカイメ
被用者,ヒヨウシャ
子息,シソク
ボンボン,ボンボン
病院,ビョウイン
スーパーファミコン,スーパーファミコン
人跡,ジンセキ
軍刀,グントウ
都内,トナイ
渦巻,ウズマキ
スリーマー,スリーマー
漏斗,ロウト
漏斗,ジョウゴ
社線,シャセン
ポルトガルエクスード,ポルトガルエクスード
スモン,スモン
ヨーチン,ヨーチン
鮮少,センショウ
黄禍,コウカ
鋳型,イガタ
ロウソク,ロウソク
健啖,ケンタン
臨済宗,リンザイシュウ
マルチタスク,マルチタスク
読癖,ヨミクセ
モロさ,モロサ
挙措,キョソ
二期作,ニキサク
白光,ハッコウ
壊れ物,コワレモノ
蛮力,バンリョク
もより,モヨリ
センチ,センチ
奇問,キモン
取越苦労,トリコシグロウ
出鱈目,デタラメ
梅,ウメ
網打ち,アミウチ
編笠,アミガサ
アナリシス,アナリシス
リスニング,リスニング
扁桃腺,ヘントウセン
兄弟分,キョウダイブン
博大,ハクダイ
七草がゆ,ナナクサガユ
かもしか,カモシカ
打切,ウチキリ
センチメンタリズム,センチメンタリズム
ずぶ濡れ,ズブヌレ
やまと,ヤマト
花椰菜,ハナヤサイ
ブールバール,ブールバール
助け船,タスケブネ
取札,トリフダ
内腿,ウチモモ
要点,ヨウテン
忠孝,チュウコウ
くじゃく,クジャク
縁戚,エンセキ
逆子,サカゴ
不具,フグ
過労,カロウ
果てし,ハテシ
仲次ぎ,ナカツギ
呪術,ジュジュツ
やり口,ヤリクチ
式法,シキホウ
腹案,フクアン
芋蔓,イモヅル
行き先,ユキサキ
行き先,イキサキ
腰板,コシイタ
マッシュルームヘア,マッシュルームヘア
帝位,テイイ
頂上,チョウジョウ
御機嫌,ゴキゲン
篭脱け,カゴヌケ
減摩,ゲンマ
蚊燻し,カイブシ
輪舞,リンブ
耐性,タイセイ
グローバリゼーション,グローバリゼーション
瘋癲,フウテン
小島,コジマ
でくの坊,デクノボウ
さつきばれ,サツキバレ
探査子,タンサシ
降霜,コウソウ
黙示,モクシ
仕来り,シキタリ
検事正,ケンジセイ
毛蟹,ケガニ
中澣,チュウカン
牝鶏,ヒンケイ
枝折,シオリ
饗宴,キョウエン
同時,ドウジ
末裔,マツエイ
あしざま,アシザマ
過疎,カソ
モーグル,モーグル
モグサ,モグサ
言い掛り,イイガカリ
孟夏,モウカ
奉幣,ホウヘイ
士爵,シシャク
余所者,ヨソモノ
中ぎり,ナカギリ
ストーリー,ストーリー
ひょうそう,ヒョウソウ
板元,ハンモト
モモンガ,モモンガ
テキスト,テキスト
白白明け,シラシラアケ
反対色,ハンタイショク
あま味,アマミ
天窓,テンマド
摺切り,スリキリ
妖魔,ヨウマ
法例,ホウレイ
禁断症状,キンダンショウジョウ
大掴み,オオヅカミ
傾城,ケイセイ
州兵,シュウヘイ
繊毛,センモウ
楢,ナラ
禅師,ゼンジ
三角巾,サンカクキン
良港,リョウコウ
きわみ,キワミ
山脈,サンミャク
君達,キミタチ
結節,ケッセツ
定休,テイキュウ
才女,サイジョ
トランシット,トランシット
新体詩,シンタイシ
ずぶとさ,ズブトサ
巻雲,マキグモ
巻雲,ケンウン
林政,リンセイ
一点ばり,イッテンバリ
鼻ぺちゃ,ハナペチャ
南京袋,ナンキンブクロ
プレイン,プレイン
変電,ヘンデン
兵家,ヘイカ
エディター,エディター
測位,ソクイ
回数,カイスウ
三五,サンゴ
サイエンス,サイエンス
蛭巻,ヒルマキ
蝴蝶,コチョウ
巨儒,キョジュ
男所帯,オトコジョタイ
なめこ,ナメコ
香煎,コウセン
寒げいこ,カンゲイコ
虎,トラ
賄い,マカナイ
狒狒,ヒヒ
才能,サイノウ
湯上り,ユアガリ
気持ち,キモチ
自重,ジジュウ
エミュレート,エミュレート
藤袴,フジバカマ
なだれ,ナダレ
あだ討ち,アダウチ
ぶま,ブマ
おとめ,オトメ
皆様,ミナサマ
お釈迦様,オシャカサマ
蜆,シジミ
幸甚,コウジン
宿坊,シュクボウ
領巾,ヒレ
春宵,シュンショウ
待ち針,マチバリ
駄目押し,ダメオシ
華族,カゾク
皇太子,コウタイシ
有畜,ユウチク
放佚,ホウイツ
畑ちがい,ハタケチガイ
遺戒,イカイ
しよう,シヨウ
ずんどう,ズンドウ
癩,カッタイ
クローブ,クローブ
週日,シュウジツ
初姿,ハツスガタ
クルップ,クルップ
偶人,グウジン
コウギョク,コウギョク
地ビール,ジビール
異常リターン,イジョウリターン
教条,キョウジョウ
ライニング,ライニング
寝装品,シンソウヒン
射的,シャテキ
マルチョイ,マルチョイ
染め色,ソメイロ
墓所,ハカショ
墓所,ボショ
墓所,ハカドコロ
レモネード,レモネード
猿股,サルマタ
大紫,オオムラサキ
二束三文,ニソクサンモン
草龜,クサガメ
来歴,ライレキ
礎石,ソセキ
メロドラマ,メロドラマ
御髪,オグシ
御髪,ミグシ
トランキライザー,トランキライザー
子ぼんのう,コボンノウ
諸国,ショコク
八重歯,ヤエバ
悪止め,ワルドメ
婚儀,コンギ
いくさ,イクサ
ズロース,ズロース
遅れ,オクレ
きたん,キタン
ハウツー,ハウツー
有為転変,ウイテンペン
紀行,キコウ
ビヨウヤナギ,ビヨウヤナギ
満堂,マンドウ
ネム,ネム
防火,ボウカ
牛馬,ギュウバ
告祭,コクサイ
麻垂,マダレ
死身,シニミ
ヒマ,ヒマ
おにぎり,オニギリ
足形,アシガタ
青嵐,アオアラシ
青嵐,セイラン
尻窄み,シリツボミ
霜降り,シモフリ
ハンディホン,ハンディホン
けち,ケチ
文旦,ブンタン
シューズ,シューズ
下敷き,シタジキ
共修,キョウシュウ
間欠熱,カンケツネツ
高圧,コウアツ
偽り,イツワリ
両部神道,リョウブシントウ
鼠色,ネズミイロ
国内線,コクナイセン
まん丸,マンマル
わび,ワビ
出船,デフネ
矮鶏,チャボ
ディセクタ,ディセクタ
公権力,コウケンリョク
レコード,レコード
嫌嫌,イヤイヤ
竹縁,タケエン
愛情,アイジョウ
批点,ヒテン
入知恵,イレヂエ
光電池,コウデンチ
助手,ジョシュ
快男児,カイダンジ
大盗,タイトウ
取り越し苦労,トリコシグロウ
所帯崩し,ショタイクズシ
胃かいよう,イカイヨウ
エラーロギング,エラーロギング
語い,ゴイ
秋毫,シュウゴウ
馬のほね,ウマノホネ
膝,ヒザ
帷幄上奏,イアクジョウソウ
揚げ幕,アゲマク
並一通り,ナミヒトトオリ
ラブコール,ラブコール
次項,ジコウ
